cpu_consumption,memory_usage
18.890,103.612,
21.447,105.230,
22.303,96.578,
25.040,99.721,
22.026,100.977,
23.517,100.718,
21.879,99.854,
23.744,100.548,
19.329,100.264,
24.051,100.558,
24.339,99.755,
22.951,99.759,
19.201,100.561,
21.486,100.513,
21.108,100.163,
23.761,100.393,
21.340,100.517,
24.759,100.195,
24.681,100.035,
19.726,100.305,
19.895,100.470,
23.037,100.047,
21.729,100.781,
19.000,100.913,
21.180,99.803,
22.826,100.064,
19.433,99.999,
19.616,99.848,
23.231,100.266,
22.247,100.953,
