treatment,memory_usage
1,74.887
1,75.491
1,75.542
1,79.388
1,72.343
1,72.775
1,74.898
1,77.500
1,77.396
1,75.799
1,73.124
1,72.881
1,73.997
1,76.834
1,77.595
1,77.467
1,73.655
1,76.159
1,72.781
1,74.070
1,74.112
1,78.204
1,75.269
1,77.631
1,77.784
1,77.112
1,74.993
1,79.327
1,78.443
1,79.139
1,103.612
1,105.230
1,96.578
1,99.721
1,100.977
1,100.718
1,99.854
1,100.548
1,100.264
1,100.558
1,99.755
1,99.759
1,100.561
1,100.513
1,100.163
1,100.393
1,100.517
1,100.195
1,100.035
1,100.305
1,100.470
1,100.047
1,100.781
1,100.913
1,99.803
1,100.064
1,99.999
1,99.848
1,100.266
1,100.953
1,76.583
1,78.883
1,82.116
1,75.954
1,79.877
1,81.119
1,79.222
1,81.203
1,79.924
1,80.303
1,76.941
1,78.661
1,76.810
1,77.590
1,78.119
1,80.262
1,80.096
1,80.421
1,77.715
1,77.093
1,77.983
1,77.030
1,79.658
1,76.431
1,79.409
1,77.656
1,75.995
1,79.353
1,80.439
1,79.375
2,113.141
2,110.161
2,98.665
2,108.514
2,101.586
2,100.980
2,100.725
2,100.843
2,101.453
2,101.438
2,100.110
2,99.471
2,101.558
2,99.305
2,99.274
2,100.727
2,100.421
2,100.006
2,100.170
2,98.799
2,100.249
2,100.020
2,98.735
2,99.496
2,100.173
2,100.236
2,101.305
2,99.210
2,99.407
2,101.311
2,94.303
2,100.086
2,94.185
2,97.398
2,103.718
2,99.139
2,97.420
2,99.009
2,99.775
2,99.195
2,99.720
2,97.965
2,97.934
2,99.844
2,98.905
2,98.429
2,100.055
2,99.595
2,98.022
2,99.305
2,98.195
2,99.424
2,99.638
2,99.172
2,99.376
2,97.608
2,98.569
2,98.198
2,98.976
2,98.359
2,137.003
2,138.857
2,135.427
2,145.121
2,147.592
2,139.060
2,142.271
2,146.503
2,147.128
2,143.284
2,139.317
2,140.825
2,145.627
2,138.334
2,140.746
2,146.974
2,141.460
2,140.956
2,142.403
2,144.832
2,141.527
2,146.030
2,145.183
2,138.189
2,140.022
2,144.216
2,137.244
2,135.520
2,142.828
2,137.914
